pitch,start,end,velocity,instrument
79,82.692225,83.028763125,123,60
67,82.692225,83.01273749999999,114,0
30,82.74030187499999,83.17299374999999,125,33
79,83.07683999999999,83.19703218749999,123,60
80,83.07683999999999,83.61369843749999,119,60
68,83.07683999999999,83.47748062499998,123,0
65,83.07683999999999,83.65376249999998,122,0
53,83.07683999999999,84.054403125,123,0
41,83.07683999999999,84.27876187499999,120,0
77,83.07683999999999,83.958249375,98,48
80,83.07683999999999,86.24190093749999,96,48
29,83.124916875,84.26273624999999,125,33
60,83.46145499999999,83.88613406249999,120,0
79,83.65376249999998,83.91818531249999,123,60
65,83.84607,84.15055687499999,123,0
68,83.84607,84.4951078125,121,0
72,83.84607,85.18420968749999,120,0
76,83.84607,84.54318468749999,96,48
79,84.0383775,84.26273624999999,123,60
77,84.230685,84.45504374999999,122,60
52,84.230685,84.44703093749999,115,0
64,84.230685,84.487095,122,0
40,84.230685,84.63933843749999,121,0
60,84.230685,84.87972281249999,112,0
40,84.27876187499999,84.71145374999999,125,33
77,84.61529999999999,86.0335678125,123,60
63,84.61529999999999,85.05600468749999,123,0
68,84.61529999999999,85.144145625,123,0
51,84.61529999999999,85.28837624999998,123,0
39,84.61529999999999,85.47267093749998,122,0
75,84.61529999999999,85.44863249999999,92,48
39,84.663376875,85.47267093749998,125,33
60,84.99991499999999,85.42459406249999,95,0
